# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
50,0.25499999999999934,1.2591978505970767,-0.0007271617404933934,9.907926131774325e-05,1.2591978505970767,18386.244830781256
51,0.24999999999999933,1.2408502885603834,-0.0008334477092545084,0.00011159136872116838,1.2408502885603834,23359.957228250707
52,0.24499999999999933,1.222509778949924,-0.0009430222232302823,0.00012370599353133017,1.222509778949924,28260.67750703963
53,0.23999999999999932,1.204142784148804,-0.001064822835397843,0.0001398489513940152,1.204142784148804,33088.351497316886
54,0.23499999999999932,1.1857689700154666,-0.0012097378930251215,0.00016103925646240784,1.1857689700154666,37842.92742598295
55,0.22999999999999932,1.167375695610559,-0.0013578465924172025,0.00018376669020021691,1.167375695610559,42524.35570594426
56,0.2249999999999993,1.1489722776357314,-0.001552780212397459,0.00021557390792272636,1.1489722776357314,47132.587350952715
57,0.2199999999999993,1.1305580966356152,-0.0017706538990460642,0.0002564732757707329,1.1305580966356152,51667.57429382597
58,0.2149999999999993,1.1121319729228307,-0.001966065754601138,0.00029275771795655493,1.1121319729228307,56129.26616423531
59,0.2099999999999993,1.0936896895883192,-0.002176307255571532,0.00033537135870531876,1.0936896895883192,60517.61830884912
60,0.2049999999999993,1.0752372939684325,-0.002537410313483175,0.0004078184384890984,1.0752372939684325,64832.58167893147
61,0.1999999999999993,1.0567778094389515,-0.002855989637563847,0.00048164942475683475,1.0567778094389515,69074.10680469262
62,0.19499999999999929,1.0383070382863262,-0.0032084718922064403,0.0005669338256244433,1.0383070382863262,73242.14578579998
63,0.18999999999999928,1.0198205299369478,-0.0035000352208645483,0.0006394538684156003,1.0198205299369478,77336.65300091599
64,0.18499999999999928,1.0013189937686218,-0.004018173709852803,0.0007764985464558186,1.0013189937686218,81357.56793566674
65,0.17999999999999927,0.9828044760204733,-0.004651086863822405,0.0009491448005588326,0.9828044760204733,85304.84130338211
66,0.17499999999999927,0.9642657055412276,-0.005416156446548446,0.0011649515064870246,0.9642657055412276,89178.40694893968
67,0.16999999999999926,0.9457202087088904,-0.006111698052794545,0.001377230121896994,0.9457202087088904,92978.20818295996
68,0.16499999999999926,0.9271606287994635,-0.006851962532787065,0.0016144931954151145,0.9271606287994635,96704.17208920424
69,0.15999999999999925,0.9085499032411055,-0.008224820957880396,0.002084426290443054,0.9085499032411055,100356.204649945
70,0.15499999999999925,0.8899475974887964,-0.00924480350873349,0.002460105506996184,0.8899475974887964,103934.19753010612
71,0.14999999999999925,0.8712757183969329,-0.010973514410767944,0.0031552818585158598,0.8712757183969329,107438.02726299115
72,0.14499999999999924,0.8525685209064394,-0.012845709009908248,0.003979334697379043,0.8525685209064394,110867.52651945801
73,0.13999999999999924,0.8337940193314267,-0.015092669396793676,0.005184554927747693,0.8337940193314267,114222.45851678393
74,0.13499999999999923,0.8148890161266473,-0.018122379987037578,0.0070534778775404715,0.8148890161266473,117502.49478510357
75,0.12999999999999923,0.7958600841805431,-0.021625836531467272,0.009253757067936238,0.7958600841805431,120707.13007540812
76,0.12499999999999922,0.7765735538227148,-0.025629517105389243,0.013576821908895207,0.7765735538227148,123835.52389771306
77,0.11999999999999922,0.7568047550294734,-0.03140182776393295,0.019338390081232445,0.7568047550294734,126886.30648012154
78,0.11499999999999921,0.7357443306604446,-0.042058995447383354,0.02793897584450975,0.7357443306604446,129856.50591433131
79,0.10999999999999921,0.6577118954801465,-0.15493993039686688,0.05392989850891831,0.6577118954801465,132371.55769420965
80,0.1049999999999992,0.6299178817994623,-0.16462567712465065,0.05781123512376745,0.6299178817994623,134933.1323078682
81,0.0999999999999992,0.6023679539049509,-0.17332878333453647,0.06197597580479304,0.6023679539049509,137384.8639344686
82,0.0949999999999992,0.5740477560935452,-0.18196911443996538,0.06690392063002702,0.5740477560935452,139725.7595491927
83,0.08999999999999919,0.5434422294415654,-0.19150330292049447,0.07315289424237309,0.5434422294415654,141950.2070538027
84,0.08499999999999919,0.5068547031834925,-0.20337452966407848,0.08225485298569805,0.5068547031834925,144042.68069820726
85,0.07999999999999918,0.4671867851566428,-0.2145215799606158,0.09152714798387689,0.4671867851566428,145980.50222813708
86,0.07499999999999918,0.4303592404340072,-0.22412829531366804,0.09437934892029262,0.4303592404340072,147765.56959977373
87,0.06999999999999917,0.39577784088905554,-0.23229362598072908,0.09361524587532642,0.39577784088905554,149407.80431667122
88,0.06499999999999917,0.3654642131929419,-0.2370835462858562,0.09419541578606341,0.3654642131929419,150921.00312811352
89,0.05999999999999917,0.3374743851818261,-0.24029957677914543,0.09568590642300577,0.3374743851818261,152319.0389007118
90,0.054999999999999175,0.30992767463659143,-0.24300147777753664,0.09762817457022278,0.30992767463659143,153607.02761113315
91,0.04999999999999918,0.28183109569745696,-0.2456273617808924,0.09963841021711789,0.28183109569745696,154784.4993858416
92,0.04499999999999918,0.25329913160555206,-0.2484095640276105,0.10078000319679127,0.25329913160555206,155849.14923297282
93,0.03999999999999918,0.22506119293037805,-0.25131040383470177,0.10058141549246385,0.22506119293037805,156800.7162497818
94,0.034999999999999185,0.197347799874421,-0.25426843092257123,0.0991590853886539,0.197347799874421,157640.91772267615
95,0.029999999999999184,0.17006480455163447,-0.2571090581999852,0.09710899856406867,0.17006480455163447,158371.67700748108
